NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,ES,SES,BBE,UAS,IdLogNum,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2
SOEM-M,9309,HC,2013-01-01 08:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 08:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-52.4,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 08:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,16.0,65.0,,,,
SOEM-M,9309,RAU,2013-01-01 08:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,16.0,92.0,,,,
SOEM-M,9309,HC,2013-01-01 08:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 08:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 08:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,15.0,4.0,,,,
SOEM-M,9309,HC,2013-01-01 08:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 08:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 09:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,16.0,29.0,,,,
SOEM-M,9309,RAU,2013-01-01 09:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-49.9,0.0,0.0
SOEM-M,9309,HC,2013-01-01 09:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 09:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 09:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,16.0,50.0,,,,
SOEM-M,9309,HC,2013-01-01 09:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,HC,2013-01-01 09:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 09:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 09:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,16.0,47.0,,,,
SOEM-M,9309,HC,2013-01-01 09:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 09:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 09:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,17.0,207.0,,,,
SOEM-M,9309,HC,2013-01-01 10:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 10:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,16.0,2.0,,,,
SOEM-M,9309,RAU,2013-01-01 10:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 10:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 10:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,11.0,12.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 10:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 10:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 10:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 10:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,12.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 10:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-52.1,-49.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 10:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 10:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 11:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 11:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 11:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 11:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 11:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 11:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,HC,2013-01-01 11:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 11:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
