NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,RAU,2013-01-01 03:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 03:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 03:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,402.0,0.0
SOEM-M,9388,RAU,2013-01-01 03:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.6,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 03:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,11.0,5.0,1154.0,0.0
SOEM-M,9388,RAU,2013-01-01 03:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,7.0,10.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 03:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,7.0,12.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 03:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 03:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,20.0,10.0,1667.0,0.0
SOEM-M,9388,HC,2013-01-01 04:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,387.0,0.0
SOEM-M,9388,RAU,2013-01-01 04:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 04:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,7.0,12.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 04:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 04:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,10.0,0.0,0,,,,,,,,
