Time,RainAmout[mm/h]
2015-01-02 18:40:00,12.827784
2015-01-02 18:50:00,9.121214
2015-01-02 19:00:00,17.015774
2015-01-02 19:10:00,12.146156
2015-01-02 19:20:00,7.808907
2015-01-02 19:30:00,-0.24815327
2015-01-02 19:40:00,3.9154947
2015-01-02 19:50:00,1.1645526
2015-01-02 20:00:00,5.3939185
2015-01-02 20:10:00,4.2988877
2015-01-02 20:20:00,1.0555141
2015-01-02 20:30:00,3.1874816
2015-01-02 20:40:00,2.5176847
2015-01-02 20:50:00,1.5616461
2015-01-02 21:00:00,3.6820545
2015-01-02 21:10:00,-0.442376
2015-01-02 21:20:00,2.562149
2015-01-02 21:30:00,2.7117221
2015-01-02 21:40:00,2.6294265
2015-01-02 21:50:00,-2.575528
2015-01-02 22:00:00,6.162483
2015-01-02 22:10:00,8.152541
2015-01-02 22:20:00,8.56699
2015-01-02 22:30:00,5.2883887
2015-01-02 22:40:00,8.656263
2015-01-02 22:50:00,5.174992
2015-01-02 23:00:00,6.5876503
2015-01-02 23:10:00,6.4242606
2015-01-02 23:20:00,3.7295837
2015-01-02 23:30:00,1.7155205
2015-01-02 23:40:00,1.0770357
2015-01-02 23:50:00,1.8922775
2015-01-03 00:00:00,1.5583675
2015-01-03 00:10:00,2.8125277
2015-01-03 00:20:00,4.8370624
2015-01-03 00:30:00,0.6983786
2015-01-03 00:40:00,1.092896
2015-01-03 00:50:00,1.1122842
2015-01-03 01:00:00,0.7607403
2015-01-03 01:10:00,3.7706895
2015-01-03 01:20:00,1.1570855
2015-01-03 01:30:00,1.4011302
2015-01-03 01:40:00,1.1027241
2015-01-03 01:50:00,0.16297492
2015-01-03 02:00:00,1.252855
2015-01-03 02:10:00,0.62464523
2015-01-03 02:20:00,1.9321501
2015-01-03 02:30:00,-0.02998444
2015-01-03 02:40:00,-0.10215814
2015-01-03 02:50:00,-0.5125628
2015-01-03 03:00:00,1.2670295
2015-01-03 03:10:00,3.350468
2015-01-03 03:20:00,3.8770142
2015-01-03 03:30:00,1.1702873
2015-01-03 03:40:00,3.1278882
2015-01-03 03:50:00,-1.3267723
2015-01-03 04:00:00,2.9202302
2015-01-03 04:10:00,3.8782268
2015-01-03 04:20:00,4.833013
2015-01-03 04:30:00,2.4085345
2015-01-03 04:40:00,4.261344
2015-01-03 04:50:00,2.213699
2015-01-03 05:00:00,2.0434384
2015-01-03 05:10:00,-0.19553572
