Time,RainAmout[mm/h]
2015-01-05 10:40:00,-2.1459002
2015-01-05 10:50:00,-2.1048486
2015-01-05 11:00:00,-2.1247697
2015-01-05 11:10:00,-3.11176
2015-01-05 11:20:00,-2.9087696
2015-01-05 11:30:00,-2.1653285
2015-01-05 11:40:00,-5.0825396
2015-01-05 11:50:00,0.8123892
2015-01-05 12:00:00,-0.4254232
2015-01-05 12:10:00,-2.9025798
2015-01-05 12:20:00,-4.5510116
2015-01-05 12:30:00,-2.8784387
2015-01-05 12:40:00,-2.2941945
2015-01-05 12:50:00,-1.462534
2015-01-05 13:00:00,-3.7203407
2015-01-05 13:10:00,-2.5204406
2015-01-05 13:20:00,-3.8392842
2015-01-05 13:30:00,-2.1779432
2015-01-05 13:40:00,-1.5776966
2015-01-05 13:50:00,-1.223245
2015-01-05 14:00:00,-2.2325962
2015-01-05 14:10:00,-3.6718934
2015-01-05 14:20:00,-3.89801
2015-01-05 14:30:00,-0.94785607
2015-01-05 14:40:00,0.80395997
2015-01-05 14:50:00,-0.20888093
2015-01-05 15:00:00,-2.8028882
2015-01-05 15:10:00,-1.5086026
2015-01-05 15:20:00,-1.5714806
2015-01-05 15:30:00,-2.6161594
2015-01-05 15:40:00,-4.1813827
2015-01-05 15:50:00,-1.0680475
2015-01-05 16:00:00,-1.6111132
2015-01-05 16:10:00,-0.94708395
2015-01-05 16:20:00,-1.7776912
2015-01-05 16:30:00,-3.9391854
2015-01-05 16:40:00,-3.6484165
2015-01-05 16:50:00,-2.5602107
2015-01-05 17:00:00,-2.214015
2015-01-05 17:10:00,0.20596679
2015-01-05 17:20:00,-2.745594
2015-01-05 17:30:00,-0.7864274
2015-01-05 17:40:00,-2.487084
2015-01-05 17:50:00,0.30301127
2015-01-05 18:00:00,-1.0680358
2015-01-05 18:10:00,-1.9771456
2015-01-05 18:20:00,-2.0414035
2015-01-05 18:30:00,1.4264518
2015-01-05 18:40:00,-0.1862407
2015-01-05 18:50:00,-1.7625684
2015-01-05 19:00:00,-2.6404274
2015-01-05 19:10:00,0.98767436
2015-01-05 19:20:00,-0.062334117
2015-01-05 19:30:00,-2.6592946
2015-01-05 19:40:00,-4.807154
2015-01-05 19:50:00,1.044916
2015-01-05 20:00:00,1.4408954
2015-01-05 20:10:00,-2.1787884
2015-01-05 20:20:00,-3.3665473
2015-01-05 20:30:00,-2.3569539
2015-01-05 20:40:00,-0.695814
2015-01-05 20:50:00,-1.731197
2015-01-05 21:00:00,-2.9004104
2015-01-05 21:10:00,0.38631356
