Time,RainAmout[mm/h]
2015-01-28 02:40:00,-0.027867181
2015-01-28 02:50:00,1.0446284
2015-01-28 03:00:00,3.014271
2015-01-28 03:10:00,-0.014295116
2015-01-28 03:20:00,-0.022570264
2015-01-28 03:30:00,-0.0028580064
2015-01-28 03:40:00,1.5304201
2015-01-28 03:50:00,-0.035805337
2015-01-28 04:00:00,-0.0368738
2015-01-28 04:10:00,0.70506465
2015-01-28 04:20:00,0.3155298
2015-01-28 04:30:00,-0.047062695
2015-01-28 04:40:00,-0.0697306
2015-01-28 04:50:00,0.89520013
2015-01-28 05:00:00,-0.0115961265
2015-01-28 05:10:00,-0.04008677
2015-01-28 05:20:00,-0.062273692
2015-01-28 05:30:00,-0.00074722804
2015-01-28 05:40:00,-0.0037398739
2015-01-28 05:50:00,-0.04909416
2015-01-28 06:00:00,-0.07141907
2015-01-28 06:10:00,-0.005688042
2015-01-28 06:20:00,-0.003694394
2015-01-28 06:30:00,-0.042781137
2015-01-28 06:40:00,-0.039792612
2015-01-28 06:50:00,-0.0064907474
2015-01-28 07:00:00,0.297538
2015-01-28 07:10:00,-0.017572235
2015-01-28 07:20:00,-0.05081369
2015-01-28 07:30:00,-0.0068068695
2015-01-28 07:40:00,1.4337388
2015-01-28 07:50:00,-0.013405074
2015-01-28 08:00:00,-0.05568065
2015-01-28 08:10:00,-0.0059168087
2015-01-28 08:20:00,-0.0068304464
2015-01-28 08:30:00,-0.018619452
2015-01-28 08:40:00,-0.061054554
2015-01-28 08:50:00,-0.02578932
2015-01-28 09:00:00,1.0606087
2015-01-28 09:10:00,-0.028358754
2015-01-28 09:20:00,-0.073212385
2015-01-28 09:30:00,-0.009383082
2015-01-28 09:40:00,-0.017074585
2015-01-28 09:50:00,-0.04741319
2015-01-28 10:00:00,-0.06745411
2015-01-28 10:10:00,-0.012563177
2015-01-28 10:20:00,0.88163775
2015-01-28 10:30:00,-0.034685344
2015-01-28 10:40:00,-0.056994624
2015-01-28 10:50:00,-0.016487746
2015-01-28 11:00:00,-0.021596428
2015-01-28 11:10:00,-0.035631903
2015-01-28 11:20:00,-0.0832825
2015-01-28 11:30:00,-0.03833002
2015-01-28 11:40:00,-0.04251676
2015-01-28 11:50:00,0.37028787
2015-01-28 12:00:00,-0.06781835
2015-01-28 12:10:00,-0.014934844
2015-01-28 12:20:00,-0.028324436
2015-01-28 12:30:00,-0.006627452
2015-01-28 12:40:00,-0.033338405
2015-01-28 12:50:00,-0.029062547
2015-01-28 13:00:00,-0.025173191
2015-01-28 13:10:00,-0.027220875
