Time,real,fake,rec,fake_det,rec_det,fake_dot_det,rec_dot_det,real_cumsum,fake_cumsum,rec_cumsum,fake_dot_det_cumsum,rec_dot_det_cumsum
2011-08-06 18:15:00,1.0,3.880000114440918,1.25,1.0,1.0,3.880000114440918,1.25,6.0,18.25000035762787,6.689999938011169,16.18000030517578,6.689999938011169
2011-08-06 18:30:00,1.0,2.2100000381469727,1.350000023841858,1.0,1.0,2.2100000381469727,1.350000023841858,7.0,20.46000039577484,8.039999961853027,18.390000343322754,8.039999961853027
2011-08-06 18:45:00,1.0,0.25999999046325684,1.1399999856948853,1.0,1.0,0.25999999046325684,1.1399999856948853,8.0,20.720000386238098,9.179999947547913,18.65000033378601,9.179999947547913
2011-08-06 19:00:00,2.0,2.180000066757202,2.559999942779541,1.0,1.0,2.180000066757202,2.559999942779541,10.0,22.9000004529953,11.739999890327454,20.830000400543213,11.739999890327454
2011-08-06 19:15:00,2.0,0.8600000143051147,2.4600000381469727,1.0,1.0,0.8600000143051147,2.4600000381469727,12.0,23.760000467300415,14.199999928474426,21.690000414848328,14.199999928474426
2011-08-06 19:30:00,2.0,0.0,2.3399999141693115,0.0,1.0,0.0,2.3399999141693115,14.0,23.760000467300415,16.539999842643738,21.690000414848328,16.539999842643738
2011-08-06 19:45:00,2.0,0.0,2.3499999046325684,0.0,1.0,0.0,2.3499999046325684,16.0,23.760000467300415,18.889999747276306,21.690000414848328,18.889999747276306
2011-08-06 20:00:00,2.0,0.0,2.2100000381469727,0.0,1.0,0.0,2.2100000381469727,18.0,23.760000467300415,21.09999978542328,21.690000414848328,21.09999978542328
2011-08-06 20:15:00,2.0,1.2999999523162842,2.6500000953674316,1.0,1.0,1.2999999523162842,2.6500000953674316,20.0,25.0600004196167,23.74999988079071,22.990000367164612,23.74999988079071
2011-08-06 20:30:00,2.0,1.100000023841858,3.119999885559082,1.0,1.0,1.100000023841858,3.119999885559082,22.0,26.160000443458557,26.869999766349792,24.09000039100647,26.869999766349792
2011-08-06 20:45:00,2.0,0.9399999976158142,3.6500000953674316,1.0,1.0,0.9399999976158142,3.6500000953674316,24.0,27.10000044107437,30.519999861717224,25.030000388622284,30.519999861717224
2011-08-06 21:00:00,0.0,1.1699999570846558,0.0,1.0,0.0,1.1699999570846558,0.0,24.0,28.270000398159027,30.519999861717224,26.20000034570694,30.519999861717224
2011-08-06 21:15:00,0.0,0.7599999904632568,0.0,1.0,0.0,0.7599999904632568,0.0,24.0,29.030000388622284,30.519999861717224,26.960000336170197,30.519999861717224
2011-08-06 21:30:00,0.0,0.6499999761581421,0.0,0.0,0.0,0.0,0.0,24.0,29.680000364780426,30.519999861717224,26.960000336170197,30.519999861717224
2011-08-06 21:45:00,0.0,0.5600000023841858,0.0,0.0,0.0,0.0,0.0,24.0,30.240000367164612,30.519999861717224,26.960000336170197,30.519999861717224
2011-08-06 22:00:00,0.0,0.7599999904632568,0.0,1.0,0.0,0.7599999904632568,0.0,24.0,31.00000035762787,30.519999861717224,27.720000326633453,30.519999861717224
2011-08-06 22:15:00,0.0,0.9399999976158142,0.0,1.0,0.0,0.9399999976158142,0.0,24.0,31.940000355243683,30.519999861717224,28.660000324249268,30.519999861717224
2011-08-06 22:30:00,0.0,1.0499999523162842,0.0,1.0,0.0,1.0499999523162842,0.0,24.0,32.99000030755997,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-06 22:45:00,0.0,0.5099999904632568,0.0,0.0,0.0,0.0,0.0,24.0,33.500000298023224,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-06 23:00:00,0.0,0.6800000071525574,0.0,0.0,0.0,0.0,0.0,24.0,34.18000030517578,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-06 23:15:00,0.0,0.3400000035762787,0.0,0.0,0.0,0.0,0.0,24.0,34.52000030875206,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-06 23:30:00,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,24.0,34.670000314712524,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-06 23:45:00,0.0,0.25,0.0,0.0,0.0,0.0,0.0,24.0,34.920000314712524,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 00:00:00,0.0,0.3700000047683716,0.0,0.0,0.0,0.0,0.0,24.0,35.290000319480896,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 00:15:00,0.0,0.6100000143051147,0.0,0.0,0.0,0.0,0.0,24.0,35.90000033378601,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 00:30:00,0.0,0.6700000166893005,0.0,0.0,0.0,0.0,0.0,24.0,36.57000035047531,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 00:45:00,0.0,0.5,0.0,0.0,0.0,0.0,0.0,24.0,37.07000035047531,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 01:00:00,0.0,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,24.0,37.67000037431717,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 01:15:00,0.0,0.3400000035762787,0.0,0.0,0.0,0.0,0.0,24.0,38.01000037789345,30.519999861717224,29.71000027656555,30.519999861717224
2011-08-07 01:30:00,0.0,0.7400000095367432,0.0,1.0,0.0,0.7400000095367432,0.0,24.0,38.75000038743019,30.519999861717224,30.450000286102295,30.519999861717224
2011-08-07 01:45:00,0.0,1.0700000524520874,0.0,1.0,0.0,1.0700000524520874,0.0,24.0,39.82000043988228,30.519999861717224,31.520000338554382,30.519999861717224
2011-08-07 02:00:00,0.0,0.949999988079071,0.0,1.0,0.0,0.949999988079071,0.0,24.0,40.77000042796135,30.519999861717224,32.47000032663345,30.519999861717224
2011-08-07 02:15:00,0.0,0.8799999952316284,0.0,1.0,0.0,0.8799999952316284,0.0,24.0,41.65000042319298,30.519999861717224,33.35000032186508,30.519999861717224
2011-08-07 02:30:00,0.0,0.9100000262260437,0.0,1.0,0.0,0.9100000262260437,0.0,24.0,42.56000044941902,30.519999861717224,34.260000348091125,30.519999861717224
2011-08-07 02:45:00,0.0,1.1399999856948853,0.0,1.0,0.0,1.1399999856948853,0.0,24.0,43.70000043511391,30.519999861717224,35.40000033378601,30.519999861717224
2011-08-07 03:00:00,0.0,1.4900000095367432,0.0,1.0,0.0,1.4900000095367432,0.0,24.0,45.19000044465065,30.519999861717224,36.890000343322754,30.519999861717224
2011-08-07 03:15:00,0.0,1.8799999952316284,0.0,1.0,0.0,1.8799999952316284,0.0,24.0,47.07000043988228,30.519999861717224,38.77000033855438,30.519999861717224
2011-08-07 03:30:00,0.0,1.4299999475479126,0.0,1.0,0.0,1.4299999475479126,0.0,24.0,48.50000038743019,30.519999861717224,40.200000286102295,30.519999861717224
2011-08-07 03:45:00,0.0,1.4900000095367432,0.0,1.0,0.0,1.4900000095367432,0.0,24.0,49.990000396966934,30.519999861717224,41.69000029563904,30.519999861717224
2011-08-07 04:00:00,0.0,1.4199999570846558,0.0,1.0,0.0,1.4199999570846558,0.0,24.0,51.41000035405159,30.519999861717224,43.110000252723694,30.519999861717224
2011-08-07 04:15:00,0.0,1.2699999809265137,0.0,1.0,0.0,1.2699999809265137,0.0,24.0,52.680000334978104,30.519999861717224,44.38000023365021,30.519999861717224
2011-08-07 04:30:00,0.0,0.8199999928474426,0.0,1.0,0.0,0.8199999928474426,0.0,24.0,53.500000327825546,30.519999861717224,45.20000022649765,30.519999861717224
