Time,real,fake,rec,fake_det,rec_det,fake_dot_det,rec_dot_det,real_cumsum,fake_cumsum,rec_cumsum,fake_dot_det_cumsum,rec_dot_det_cumsum
2011-08-06 13:45:00,0.0,18.760000228881836,0.0,1.0,0.0,18.760000228881836,0.0,0.0,36.18000065535307,3.6500000432133675,31.850000619888306,0.0
2011-08-06 14:00:00,0.0,5.800000190734863,0.1899999976158142,1.0,0.0,5.800000190734863,0.0,0.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 14:15:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 14:30:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 14:45:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 15:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 15:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 15:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 15:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.98000084608793,3.8400000408291817,37.65000081062317,0.0
2011-08-06 16:00:00,5.0,0.0,1.5399999618530273,0.0,1.0,0.0,1.5399999618530273,9.0,41.98000084608793,5.380000002682209,37.65000081062317,1.5399999618530273
2011-08-06 16:15:00,5.0,0.0,6.409999847412109,0.0,1.0,0.0,6.409999847412109,14.0,41.98000084608793,11.789999850094318,37.65000081062317,7.949999809265137
2011-08-06 16:30:00,5.0,0.10999999940395355,15.399999618530273,0.0,1.0,0.0,15.399999618530273,19.0,42.090000845491886,27.189999468624592,37.65000081062317,23.34999942779541
2011-08-06 16:45:00,5.0,1.1200000047683716,15.329999923706055,0.0,1.0,0.0,15.329999923706055,24.0,43.21000085026026,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 17:00:00,0.0,2.440000057220459,0.0,0.0,0.0,0.0,0.0,24.0,45.65000090748072,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 17:15:00,0.0,1.8700000047683716,0.0,0.0,0.0,0.0,0.0,24.0,47.52000091224909,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.52000091224909,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 17:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.52000091224909,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 18:00:00,0.0,0.3400000035762787,0.0,0.0,0.0,0.0,0.0,24.0,47.86000091582537,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.86000091582537,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.86000091582537,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 18:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.86000091582537,42.51999939233065,37.65000081062317,38.679999351501465
2011-08-06 19:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,47.86000091582537,42.51999939233065,37.65000081062317,38.679999351501465
