Time,real,fake,rec,fake_det,rec_det,fake_dot_det,rec_dot_det,real_cumsum,fake_cumsum,rec_cumsum,fake_dot_det_cumsum,rec_dot_det_cumsum
2015-01-09 07:30:00,0.30000001192092896,0.6299999952316284,0.33000001311302185,1.0,1.0,0.6299999952316284,0.33000001311302185,81.10000070929527,171.36999929696321,48.53000017255545,105.11999976634979,42.19000016152859
2015-01-09 07:40:00,0.30000001192092896,0.6600000262260437,0.25,1.0,1.0,0.6600000262260437,0.25,81.4000007212162,172.02999932318926,48.78000017255545,105.77999979257584,42.44000016152859
2015-01-09 07:50:00,0.5,0.6499999761581421,0.3400000035762787,1.0,1.0,0.6499999761581421,0.3400000035762787,81.9000007212162,172.6799992993474,49.120000176131725,106.42999976873398,42.780000165104866
2015-01-09 08:00:00,0.8999999761581421,0.6499999761581421,0.6200000047683716,1.0,1.0,0.6499999761581421,0.6200000047683716,82.80000069737434,173.32999927550554,49.7400001809001,107.07999974489212,43.40000016987324
2015-01-09 08:10:00,1.100000023841858,0.6499999761581421,0.7200000286102295,1.0,1.0,0.6499999761581421,0.7200000286102295,83.9000007212162,173.97999925166368,50.460000209510326,107.72999972105026,44.12000019848347
2015-01-09 08:20:00,0.8999999761581421,0.6000000238418579,0.5,1.0,1.0,0.6000000238418579,0.5,84.80000069737434,174.57999927550554,50.960000209510326,108.32999974489212,44.62000019848347
2015-01-09 08:30:00,0.4000000059604645,0.6000000238418579,0.1599999964237213,1.0,0.0,0.6000000238418579,0.0,85.20000070333481,175.1799992993474,51.12000020593405,108.92999976873398,44.62000019848347
2015-01-09 08:40:00,0.30000001192092896,0.6299999952316284,0.11999999731779099,1.0,0.0,0.6299999952316284,0.0,85.50000071525574,175.80999929457903,51.24000020325184,109.5599997639656,44.62000019848347
2015-01-09 08:50:00,0.20000000298023224,0.6600000262260437,0.14000000059604645,1.0,0.0,0.6600000262260437,0.0,85.70000071823597,176.46999932080507,51.380000203847885,110.21999979019165,44.62000019848347
2015-01-09 09:00:00,0.10000000149011612,0.6299999952316284,0.12999999523162842,1.0,0.0,0.6299999952316284,0.0,85.80000071972609,177.0999993160367,51.51000019907951,110.84999978542328,44.62000019848347
2015-01-09 09:10:00,0.10000000149011612,0.6100000143051147,0.0,1.0,0.0,0.6100000143051147,0.0,85.9000007212162,177.70999933034182,51.51000019907951,111.4599997997284,44.62000019848347
2015-01-09 09:20:00,0.20000000298023224,0.6000000238418579,0.11999999731779099,1.0,0.0,0.6000000238418579,0.0,86.10000072419643,178.30999935418367,51.630000196397305,112.05999982357025,44.62000019848347
2015-01-09 09:30:00,0.6000000238418579,0.5899999737739563,0.4099999964237213,1.0,1.0,0.5899999737739563,0.4099999964237213,86.70000074803829,178.89999932795763,52.040000192821026,112.64999979734421,45.03000019490719
2015-01-09 09:40:00,0.4000000059604645,0.5799999833106995,0.23000000417232513,1.0,1.0,0.5799999833106995,0.23000000417232513,87.10000075399876,179.47999931126833,52.27000019699335,113.22999978065491,45.26000019907951
2015-01-09 09:50:00,0.4000000059604645,0.5199999809265137,0.15000000596046448,1.0,1.0,0.5199999809265137,0.15000000596046448,87.50000075995922,179.99999929219484,52.420000202953815,113.74999976158142,45.41000020503998
2015-01-09 10:00:00,0.4000000059604645,0.6299999952316284,0.1899999976158142,1.0,1.0,0.6299999952316284,0.1899999976158142,87.90000076591969,180.62999928742647,52.61000020056963,114.37999975681305,45.60000020265579
2015-01-09 10:10:00,0.800000011920929,0.7099999785423279,0.44999998807907104,1.0,1.0,0.7099999785423279,0.44999998807907104,88.70000077784061,181.3399992659688,53.0600001886487,115.08999973535538,46.05000019073486
2015-01-09 10:20:00,0.5,0.7200000286102295,0.25,1.0,1.0,0.7200000286102295,0.25,89.20000077784061,182.05999929457903,53.3100001886487,115.8099997639656,46.30000019073486
2015-01-09 10:30:00,0.4000000059604645,0.699999988079071,0.3100000023841858,1.0,1.0,0.699999988079071,0.3100000023841858,89.60000078380108,182.7599992826581,53.62000019103289,116.50999975204468,46.61000019311905
2015-01-09 10:40:00,0.20000000298023224,0.6600000262260437,0.15000000596046448,1.0,0.0,0.6600000262260437,0.0,89.80000078678131,183.41999930888414,53.77000019699335,117.16999977827072,46.61000019311905
2015-01-09 10:50:00,0.10000000149011612,0.6700000166893005,0.0,1.0,0.0,0.6700000166893005,0.0,89.90000078827143,184.08999932557344,53.77000019699335,117.83999979496002,46.61000019311905
2015-01-09 11:00:00,0.10000000149011612,0.6499999761581421,0.0,1.0,0.0,0.6499999761581421,0.0,90.00000078976154,184.7399993017316,53.77000019699335,118.48999977111816,46.61000019311905
2015-01-09 11:10:00,0.20000000298023224,0.6600000262260437,0.17000000178813934,1.0,0.0,0.6600000262260437,0.0,90.20000079274178,185.39999932795763,53.94000019878149,119.14999979734421,46.61000019311905
2015-01-09 11:20:00,0.10000000149011612,0.6600000262260437,0.0,1.0,0.0,0.6600000262260437,0.0,90.30000079423189,186.05999935418367,53.94000019878149,119.80999982357025,46.61000019311905
2015-01-09 11:30:00,0.10000000149011612,0.6200000047683716,0.0,1.0,0.0,0.6200000047683716,0.0,90.40000079572201,186.67999935895205,53.94000019878149,120.42999982833862,46.61000019311905
2015-01-09 11:40:00,0.20000000298023224,0.5600000023841858,0.15000000596046448,1.0,0.0,0.5600000023841858,0.0,90.60000079870224,187.23999936133623,54.090000204741955,120.98999983072281,46.61000019311905
2015-01-09 11:50:00,0.20000000298023224,0.5400000214576721,0.12999999523162842,1.0,0.0,0.5400000214576721,0.0,90.80000080168247,187.7799993827939,54.22000019997358,121.52999985218048,46.61000019311905
2015-01-09 12:00:00,0.20000000298023224,0.5199999809265137,0.0,1.0,0.0,0.5199999809265137,0.0,91.0000008046627,188.29999936372042,54.22000019997358,122.049999833107,46.61000019311905
2015-01-09 12:10:00,0.10000000149011612,0.5299999713897705,0.0,1.0,0.0,0.5299999713897705,0.0,91.10000080615282,188.8299993351102,54.22000019997358,122.57999980449677,46.61000019311905
2015-01-09 12:20:00,0.20000000298023224,0.550000011920929,0.12999999523162842,1.0,0.0,0.550000011920929,0.0,91.30000080913305,189.37999934703112,54.35000019520521,123.1299998164177,46.61000019311905
2015-01-09 12:30:00,0.20000000298023224,0.5299999713897705,0.0,1.0,0.0,0.5299999713897705,0.0,91.50000081211329,189.9099993184209,54.35000019520521,123.65999978780746,46.61000019311905
2015-01-09 12:40:00,0.10000000149011612,0.46000000834465027,0.0,1.0,0.0,0.46000000834465027,0.0,91.6000008136034,190.36999932676554,54.35000019520521,124.11999979615211,46.61000019311905
2015-01-09 12:50:00,0.10000000149011612,0.3799999952316284,0.0,1.0,0.0,0.3799999952316284,0.0,91.70000081509352,190.74999932199717,54.35000019520521,124.49999979138374,46.61000019311905
2015-01-09 13:00:00,0.0,0.30000001192092896,0.0,1.0,0.0,0.30000001192092896,0.0,91.70000081509352,191.0499993339181,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 13:10:00,0.0,0.23999999463558197,0.0,0.0,0.0,0.0,0.0,91.70000081509352,191.28999932855368,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 13:20:00,0.0,0.20999999344348907,0.0,0.0,0.0,0.0,0.0,91.70000081509352,191.49999932199717,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 13:30:00,0.10000000149011612,0.14000000059604645,0.0,0.0,0.0,0.0,0.0,91.80000081658363,191.6399993225932,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 13:40:00,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,91.90000081807375,191.6399993225932,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 13:50:00,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,92.00000081956387,191.6399993225932,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 14:00:00,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,92.2000008225441,191.6399993225932,54.35000019520521,124.79999980330467,46.61000019311905
2015-01-09 14:10:00,0.30000001192092896,0.0,0.18000000715255737,0.0,0.0,0.0,0.0,92.50000083446503,191.6399993225932,54.53000020235777,124.79999980330467,46.61000019311905
2015-01-09 14:20:00,0.30000001192092896,0.2199999988079071,0.20000000298023224,0.0,0.0,0.0,0.0,92.80000084638596,191.85999932140112,54.730000205338,124.79999980330467,46.61000019311905
2015-01-09 14:30:00,0.30000001192092896,0.3700000047683716,0.2800000011920929,1.0,1.0,0.3700000047683716,0.2800000011920929,93.10000085830688,192.2299993261695,55.010000206530094,125.16999980807304,46.89000019431114
2015-01-09 14:40:00,0.0,0.49000000953674316,0.0,1.0,0.0,0.49000000953674316,0.0,93.10000085830688,192.71999933570623,55.010000206530094,125.65999981760979,46.89000019431114
2015-01-09 14:50:00,0.30000001192092896,0.5299999713897705,0.20999999344348907,1.0,1.0,0.5299999713897705,0.20999999344348907,93.40000087022781,193.249999307096,55.22000019997358,126.18999978899956,47.10000018775463
2015-01-09 15:00:00,0.4000000059604645,0.5,0.23999999463558197,1.0,1.0,0.5,0.23999999463558197,93.80000087618828,193.749999307096,55.460000194609165,126.68999978899956,47.34000018239021
