channelId,name,alias,active,typeId,pollutantId,units,description
1,WS,,True,4,,m/sec,
3,WD,,True,22,,deg,
4,STDwd,,True,3,,deg,
5,Grad,,True,52,,w/m2,
6,RH,,True,27,,%,
7,Rain,,True,1,,mm,
8,WSmax,,True,5,,m/sec,
9,WDmax,,True,23,,deg,
10,WS1mm,,True,6,,m/sec,
11,Ws10mm,,True,144,,m/sec,
12,Time,,True,102,,hhmm,
14,TG,,True,33,,degC,
17,TD,,True,32,,degC,
20,TDmax,,True,41,,degC,
21,TDmin,,True,42,,degC,
