NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEMTN,5825,1/2.1/1,2019-01-03 03:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.0,0.0,0,H3T6,3272,-,0.5847411130050088
SOEM-M,16854,1/14.1/1,2019-01-03 03:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 03:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEMTN,5825,1/2.1/1,2019-01-03 03:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,0.4842720547196857
SOEMTN,5825,1/2.1/1,2019-01-03 04:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.0,0.0,0,H3T6,3272,-,0.5847411130050088
SOEMTN,5558,1/4.1/1,2019-01-03 04:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,16854,1/14.1/1,2019-01-03 04:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.2,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 04:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEM-M,16854,1/14.1/1,2019-01-03 04:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 04:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,0.4842720547196857
SOEM-M,16854,1/14.1/1,2019-01-03 04:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 04:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEMTN,5825,1/2.1/1,2019-01-03 04:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,0.4842720547196857
SOEMTN,5558,1/4.1/1,2019-01-03 04:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 04:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 04:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,0.38385532632475633
SOEM-M,16854,1/14.1/1,2019-01-03 05:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 05:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.7,0.0,0,H3T6,3272,-,0.14985234079265697
SOEMTN,5558,1/4.1/1,2019-01-03 05:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 05:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 05:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,0.4842720547196857
SOEMTN,5558,1/4.1/1,2019-01-03 05:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 05:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 05:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 05:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEM-M,16854,1/14.1/1,2019-01-03 05:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 05:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-03 05:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 06:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 06:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 06:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.4,0.0,0,H3T6,3272,-,0.04981377713941953
SOEMTN,5825,1/2.1/1,2019-01-03 06:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.4,0.0,0,H3T6,3272,-,0.04981377713941953
SOEM-M,16854,1/14.1/1,2019-01-03 06:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 06:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 06:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 06:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 06:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 06:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 06:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEM-M,16854,1/14.1/1,2019-01-03 06:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 07:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 07:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.0,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 07:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 07:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.5,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 07:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.5,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 07:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 07:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 07:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-03 07:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 07:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEMTN,5825,1/2.1/1,2019-01-03 07:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.5,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 07:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 08:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 08:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 08:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 08:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEM-M,16854,1/14.1/1,2019-01-03 08:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 08:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.8,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 08:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 08:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-03 08:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 08:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.5,0.0,0,H3T6,3272,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 08:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 08:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.9,0.0,0,RX6N,8537,-,0.4005873081749228
SOEMTN,5825,1/2.1/1,2019-01-03 09:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 09:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEM-M,16854,1/14.1/1,2019-01-03 09:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 09:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 09:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 09:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 09:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.7,0.0,0,H3T6,3272,-,0.14985234079265697
SOEMTN,5558,1/4.1/1,2019-01-03 09:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 09:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 09:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 09:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-03 09:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,0.38385532632475633
SOEMTN,5825,1/2.1/1,2019-01-03 10:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 10:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 10:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 10:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 10:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 10:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.0,0.0,0,H3T6,3272,-,0.25007305679978914
SOEMTN,5558,1/4.1/1,2019-01-03 10:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 10:30:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 10:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,0.38385532632475633
SOEMTN,5825,1/2.1/1,2019-01-03 10:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.0,0.0,0,H3T6,3272,-,0.25007305679978914
SOEM-M,16854,1/14.1/1,2019-01-03 10:45:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-03 10:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,16854,1/14.1/1,2019-01-03 11:00:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 11:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,0.38385532632475633
SOEMTN,5558,1/4.1/1,2019-01-03 11:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-03 11:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.0,0.0,0,H3T6,3272,-,0.5847411130050088
SOEM-M,16854,1/14.1/1,2019-01-03 11:15:00,15,Near End,00742_11482.51,AMM 20PB,-,-43.8,0.0,0,3F94,3T94,-,0.0
