NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2
SOEM-M,5081,RAU,2013-01-01 00:00:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 00:00:00,24,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-51.1,-49.9,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 00:00:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 00:00:00,24,Near End,c219_00794_00772_5079.30,1+0,-,8.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 00:15:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 00:15:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 00:30:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 00:30:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 00:45:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 00:45:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 01:00:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 01:00:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 01:15:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 01:15:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 01:30:00,15,Near End,c219_00794_00772_5079.30,1+0,-,,,,0,-50.8,-50.2,0.0,0.0
SOEM-M,5081,RAU,2013-01-01 01:30:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
SOEM-M,5081,RAU,2013-01-01 01:45:00,15,Near End,c219_00794_00772_5079.30,1+0,-,9.0,10.0,0.0,0,,,,
