channelId,name,alias,active,typeId,pollutantId,units,description
1,WSmax,,True,5,,m/sec,
2,WDmax,,True,23,,deg,
3,WS,,True,4,,m/sec,
4,WD,,True,22,,deg,
5,STDwd,,True,3,,deg,
6,TD,,True,32,,degC,
7,RH,,True,27,,%,
8,TDmax,,True,41,,degC,
9,TDmin,,True,42,,degC,
10,Grad,,True,52,,w/m2,
11,NIP,,True,79,,w/m2,
12,DiffR,,True,77,,w/m2,
13,WS1mm,,True,6,,m/sec,
15,Ws10mm,,True,144,,m/sec,
16,Time,,True,102,,hhmm,
20,Rain,,True,1,,mm,
